INDEX,SYNONYMS,SMILES
210,Artemisinin£¨ÇàÝïËØ£©,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4
211,molecule211,Cc1ccc2ccc3ccc(C)nc3c2n1
212,molecule212,Cc1cccc(C(=O)O)c1O
213,molecule213,Cc1cccc(C(=O)O)c1
214,molecule214,Cc1cccc(NC(=O)C(C)(C)C)n1
215,Mefenamic Acid£¨¼×·ÒÄÇËá£©,Cc1cccc(Nc2ccccc2C(=O)O)c1C
216,molecule216,Cc1ccccc1C(=O)O
217,Sulfamerazine£¨»Ç°·¼×à×à¤£©,Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1
218,Nevirapine£¨ÄÎÎ¤À­Æ½£©,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1
219,molecule219,CC1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CC(C)N1
220,molecule220,Cc1cn2ccsc2n1
221,molecule221,CC1CNC(C)CN1
222,molecule222,Cc1n[nH]c(C)c1-c1c(C)n[nH]c1C
223,molecule223,Cc1n[nH]c(C)c1Cc1c(C)n[nH]c1C
224,molecule224,Cc1nc(C)c(C)nc1C
225,levornidazole£¨°ÂÏõßò£©,Cc1ncc([N+](=O)[O-])n1CC(O)CCl
226,Alprazolam£¨°¢ÆÕßòÂØ£©,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2
227,molecule227,Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C
228,molecule228,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1
229,molecule229,CCC(C(=O)O)c1ccccc1
230,Etiracetam£¨ÒÒÀ­Î÷Ì¹£©,CCC(C(N)=O)N1CCCC1=O
231,molecule231,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O
232,Phenobarbital£¨±½°Í±ÈÍ×£©,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O
233,Barbital£¨°Í±ÈÍ×£©,CCC1(CC)C(=O)NC(=O)NC1=O
234,Amobarbital£¨ÒìÎì°Í±ÈÍ×£©,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O
235,molecule235,CCc1cc(C(N)=S)ccn1
236,Pyrimethamine£¨ÒÒ°·à×à¤£©,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1
237,molecule237,CCCC(=O)c1c(O)cc(O)cc1O
238,Propylthiouracil£¨±ûÁòÑõà×à¤£©,CCCc1cc(=O)[nH]c(=S)[nH]1
239,molecule239,CCCCCCCCCCC(=O)O
240,molecule240,CCCCCCCCCCCC(=O)O
241,molecule241,CCCCCCCCCCCCC(=O)O
242,molecule242,CCCCCCCCCCCCCCCC(=O)O
243,molecule243,CCCCCCCCCCCCCCCCCC(=O)O
244,molecule244,CCCCNC(=O)OCC#CI
245,Bumetanide£¨²¼ÃÀËûÄá£©,CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1
246,Butylparaben£¨Äá²´½ð¶¡õ¥£©,CCCCOC(=O)c1ccc(O)cc1
247,Probenecid£¨±û»ÇÊæ£©,CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1
248,Lidocaine£¨Àû¶à¿¨Òò£©,CCN(CC)CC(=O)Nc1c(C)cccc1C
249,molecule249,CCN(CC)Cc1cc([N+](=O)[O-])ccc1O
250,molecule250,CCn1c(-c2ccccc2)c(N=Nc2c(-c3ccccc3)n(CC)c3ccccc23)c2ccccc21
251,Norfloxacin£¨Åµ·úÉ³ÐÇ£©,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21
252,Nalidixic Acid£¨ÝÁà¤Ëá£©,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21
253,Blonanserin£¨²¼ÄÏÉ«ÁÖ£©,CCN1CCN(c2cc(-c3ccc(F)cc3)c3c(n2)CCCCCC3)CC1
254,molecule254,CCn1cnc2c(N)ncnc21
255,molecule255,CCOC(=O)C=CC(=O)O
256,Felodipine£¨·ÇÂåµØÆ½£©,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl
257,Arbidol£¨°¢±È¶à¶û£©,CCOC(=O)c1c(CSc2ccccc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12
258,molecule258,CCOC(=O)c1ccc(O)cc1
259,molecule259,CCOC(=O)CCC1CCCNC1
260,Carbimazole£¨¿¨±ÈÂíßò£©,CCOC(=O)n1ccn(C)c1=S
261,Retigabine£¨ÈðÌæ¼Ó±õ£©,CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)cc1N
262,1R-Dapagliflozin£¨´ï¸ñÁÐ¾»£©,CCOc1ccc(Cc2cc(C3OC(CO)C(O)C(O)C3O)ccc2Cl)cc1
263,Ethenzamide£¨ÒÒË®Ñî°·£©,CCOc1ccccc1C(N)=O
264,molecule264,O=CC1=C(Cl)C(=CN2CCCC2)C(Cl)=C(C=O)C1
265,molecule265,N#CC1=C(C#N)C(=O)C(Cl)=C(Cl)C1=O
266,molecule266,O=C1C(Cl)=C(Cl)C(=O)C(Cl)=C1Cl
267,molecule267,O=C1C(=O)C(Cl)=C(Cl)C(Cl)=C1Cl
268,molecule268,N#Cc1c(Cl)c(Cl)c(C#N)c(Cl)c1Cl
269,molecule269,N#Cc1c(Cl)c(Cl)c(Cl)c(Cl)c1C#N
270,molecule270,O=C1OC(=O)c2c(Cl)c(Cl)c(Cl)c(Cl)c21
271,Haloprogin£¨ÂÈ±ûÈ²µâ£©,Clc1cc(Cl)c(OCC#CI)cc1Cl
272,molecule272,O=C1CC(c2ccc(Cl)cc2)CN1
273,molecule273,O=c1[nH]c2cc(Cl)ccc2o1
274,Aripiprazole£¨°¢Á¢ßßÍª£©,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1
275,Clotrimazole£¨¿ËÃ¹ßò£©,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1
276,molecule276,O=C(CCl)Nc1cc[nH]n1
277,molecule277,CN(C)C(=O)c1ccc(C(=O)N(C)C)cc1
278,Aminopyrine£¨°±»ù±ÈÁÖ£©,Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C
279,molecule279,CN(C)c1cc(N(C)C)cc(N(C)C)c1
280,molecule280,CN(C)c1ccc(C=O)cc1
281,molecule281,CN(C)c1ccc(N=Nc2ccccc2C(=O)O)cc1
282,molecule282,CN(C)c1cccc(C(=O)O)c1
283,molecule283,CN(C)c1nc(N(C)C)nc(N(C)C)n1
284,molecule284,CN(C)CCc1c[nH]c2ccc(CC3COC(=O)N3)cc12
285,Diphenhydramine£¨±½º£À­Ã÷£©,CN(C)CCOC(c1ccccc1)c1ccccc1
286,molecule286,CN(C)Nc1nc(CSCCC(N)=NS(N)(=O)=O)cs1
287,Piroxicam£¨ßÁÂÞÎô¿µ£©,CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O
288,Meloxicam£¨ÃÀÂåÎô¿µ£©,Cc1cnc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)s1
289,Tenoxicam£¨ÌæÅµÎô¿µ£©,CN1C(C(=O)Nc2ccccn2)=C(O)c2sccc2S1(=O)=O
290,molecule290,Cn1c(=O)c2sc3c(=O)n(C)c(=O)c3sc2c1=O
291,molecule291,Cn1c(=O)c2cc3c(=O)n(C)c(=O)c3cc2c1=O
292,molecule292,CN1C(=O)CC(=O)N(C)C1=O
293,molecule293,Cn1c(=O)c2n[nH]nc2n(C)c1=O
294,Theophylline£¨²è¼î£©,Cn1c(=O)c2[nH]cnc2n(C)c1=O
295,Caffeine£¨¿§·ÈÒò£©,Cn1c(=O)c2c(ncn2C)n(C)c1=O
296,Pentoxifylline£¨¼ºÍª¿É¿É¼î£©,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O
297,molecule297,Cn1c(CO)cc(=O)[nH]c1=O
298,Theobromine£¨¿É¿É¼î£©,Cn1cnc2c1c(=O)[nH]c(=O)n2C
299,molecule299,CN1C=CC(=C2C=CN(C)c3nsnc32)c2nsnc21
300,molecule300,Cn1ccc(N)nc1=O
301,Deferiprone£¨È¥ÌúÍª£©,Cc1c(O)c(=O)ccn1C
302,molecule302,Cn1cc[nH]c1=S
303,Lumiflavin£¨¹â»ÆËØ£©,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C)c2cc1C
304,molecule304,CN1c2ccccc2N(C)c2ccccc21
305,Tadalafil£¨Ëû´ïÀ­·Ç£©,CN1CC(=O)N2C(Cc3c([nH]c4ccccc34)C2c2ccc3c(c2)OCO3)C1=O
306,molecule306,CN1CC(=O)NC1=N
307,molecule307,CC(=O)N=C1NC(=O)CN1C
308,molecule308,CN1CC[N+](C)(CC(=O)O)CC1
309,Clozapine£¨ÂÈÏõÎ÷ãú£©,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1
310,Antipyrine£¨°²Ìæ±ÈÁÖ£©,Cc1cc(=O)n(-c2ccccc2)n1C
311,Temozolomide£¨ÌæÄªßò°·£©,Cn1nnc2c(C(N)=O)ncn2c1=O
312,molecule312,Cn1nnc(N[N+](=O)[O-])n1
313,molecule313,Cn1sc(Cl)cc1=O
314,molecule314,CNC(=S)C1=CSC(=C2SC(SC)=C(SC)S2)S1
315,Nifedipine£¨Ïõ±½µØÆ½£©,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-]
316,molecule316,COC(=O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O
317,molecule317,COC(=O)c1cc(O)cc(O)c1
318,molecule318,COC(=O)c1cccnc1
319,Mebendazole£¨¼×±½ßäßò£©,COC(=O)Nc1nc2ccc(C(=O)c3ccccc3)cc2[nH]1
320,molecule320,COC(=S)Nc1ccc([N+](=O)[O-])cc1
321,molecule321,COC1=CC(=O)C=CC1=O
322,molecule322,COc1cc(C)oc(=O)c1
323,Mycophenolic Acid£¨Ã¹·ÓËá£©,COc1c(C)c2c(c(O)c1CC=C(C)CCC(=O)O)C(=O)OC2
324,molecule324,COc1c(O)cc(C)c(O)c1OC
325,molecule325,COc1cc(C=CC(=O)O)cc(OC)c1O
326,Ferulic acid£¨°¢ÎºËá£©,COc1cc(C=CC(=O)O)ccc1O
327,molecule327,COc1cc(C=O)ccc1O
328,Trimethoprim£¨¼×ÑõÜÐà¤£©,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC
